node,degree centrality
"Nanjing University of Posts and Telecommunications, College of Telecommunications and Information Engineering, Nanjing, China",5
"Southwest Jiaotong University, School of Information Science and Technology, Chengdu, China",53
Mininglamp Academy of Sciences,180
"Deakin University, School of Information Technology, Burwood, VIC, Australia",57
"Hong Kong Polytechnic University, Department of Computing, Hung Hom, Kowloon, Hong Kong",49
"The University of Alabama, Department of Computer Science, Tuscaloosa, AL, USA",131
"Tsinghua University, Department of Computer Science, Beijing, China",72
"Beihang University, School of Automation Science and Electrical Engineering, Beijing, China",29
"University of Electronic Science and Technology of China, National Key Laboratory of Science and Technology on Communications / Center for Intelligent Networking and Communications, Chengdu, China",4
"Beijing Institute of Technology, School of Information and Electronics, China",40
"University of Memphis, Department of Computer Science, TN, USA",28
"University of Electronic Science and Technology of China, School of Information and Communication Engeneering, Chengdu, China",65
"St. Francis Xavier University, Department of Computer Science, Canada",301
"Sichuan University, School of Computer Science, Chengdu, China",70
"University of British Columbia, Department of Electrical and Computer Engineering, Vancouver, BC, Canada",5
"University of Posts and Telecommunications, Intelligent Computing and Communication Lab, Beijing, China",6
"Southern University of Science and Technology, Shenzhen Key Lab of Computational Intelligence, China",130
"Soonchunhyang University, Department of Information Security Engineering, Asan, South Korea",94
"Shenzhen University, College of Computer Science and Software Engineering, China",41
"Illinois University, Chicago, IL, USA",5
"Northeastern University, School of Computer Science and Engineering, Shenyang, China",222
"Tongji University, Shanghai, School of Software Engineering",62
"National University of Defense Technology, College of Electronic Science, Changsha, China",27
University of Texas at Arlington,484
"Hong Kong Polytechnic University, Department of Electronic and Information Engineering, Hong Kong",28
"Nanjing University of Posts and Telecommunications, Jiangsu Key Laboratory of Wireless Communications, China",16
"Hong Kong University of Science and Technology, Department of Computer Science, Hong Kong",135
"University of Freiburg, Department of Microsystems Engineering (IMTEK), Germany",311
"National University of Singapore, ECE Department, Singapore",48
"Tsinghua University, Information Technology Center, Beijing, China",126
"Max Planck Institute for Informatics, Saarbrücken, Germany",466
"Simula Research Laboratory, Oslo, Norway",142
"Zhongnan University of Economics and Law, School of Information and Safety Engineering, Wuhan, China",44
"University of Technology Sydney, School of Software, Centre for Artificial Intelligence, NSW, Australia",328
"Georgia Institute of Technology, School of Electrical and Computer Engineering, Atlanta, GA, USA",8
"Beijing University of Posts and Telecommunications, School of Electronic Engineering, China",29
"Microsoft Research Asia, Beijing, China",243
"Beijing Jiaotong University, China",37
"National University of Defense Technology, Department of Communication Engineering, Changsha, Hunan, China",18
"University of Canberra, School of Information Systems and Accounting, Australia",25
"Northwest University, School of Information and Technology, Xi'an, China",15
"University of California, San Diego, USA",134
"Beijing University of Posts & Telecommunications, China",58
"University of Science and Technology of China, CAS Key Laboratory of Wireless-Optical Communications, Hefei",121
"Nanjing University of Posts and Telecommunications, Key Laboratory of Broadband Wireless Communications and Sensor Network Technology, China",29
"Max Planck Institute for Developmental Biology, Tübingen, Germany",66
"Tsinghua University, State Key Laboratory of Intelligent Technology and Systems, TNList, Beijing, China",169
" University of Toulouse, LAAS",116
"Nanjing University of Posts and Telecommunications, School of Telecommunication and Information Engineering, Key Wireless Laboratory of Jiangsu Province, China",16
